edge_id,u,v,edge_length_m,estimated_travel_time,routing_cost,static_cost,speed_limit,traffic_signal_density,intersection_density,commercial_density,nightlife_density,hospital_density,police_station_distance,cctv_density_estimate,lighting_score,crime_score,activity_score,event_frequency,infrastructure_score,connectivity_score,isolated_area_score,road_risk_score,travel_time_estimate,congestion_score,flood_risk,weather_exposure_score,poi_density,time_risk,adjacency_count,zone,direction,source_area,destination_area,road_name,road_type,highway_type,junction_type,road_width_estimate,zone_type,static_component,graph_component
10,2,2220,15.59,1.87,27.77,15.59,30.0,0.425,0.285,0.7145,0.4175,0.32,0.673,0.5585,0.6485,0.484,0.4415,0.139,0.4535,0.502,0.3555,0.481,0.555,0.601,0.155,0.3255,0.473,0.468,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,ModerateZone,0,0
11,2,2280,7.71,1.11,13.26,7.71,25.0,0.195,0.42,0.6315,0.464,0.341,0.618,0.5485,0.6545,0.4105,0.4515,0.142,0.3845,0.472,0.2915,0.425,0.785,0.59,0.1925,0.3455,0.4505,0.4145,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
12,3,16,95.47,13.75,161.7,95.47,25.0,0.505,0.455,0.7295,0.3975,0.401,0.549,0.617,0.763,0.355,0.543,0.094,0.489,0.54,0.2345,0.3605,3.5,0.6665,0.176,0.4215,0.575,0.384,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Mackan Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
13,3,2234,29.5,3.54,50.31,29.5,30.0,0.455,0.445,0.8135,0.529,0.264,0.5585,0.6565,0.8145,0.326,0.5795,0.084,0.5595,0.641,0.197,0.3515,2.665,0.708,0.1895,0.434,0.6085,0.3845,7.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Mackan Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
14,3,2260,37.67,4.52,62.45,37.67,30.0,0.345,0.41,0.694,0.512,0.366,0.654,0.6005,0.7405,0.34,0.5405,0.1245,0.458,0.5775,0.252,0.3455,4.79,0.6245,0.193,0.37,0.576,0.427,8.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Mackan Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
15,3,2263,50.61,6.07,85.4,50.61,30.0,0.515,0.37,0.737,0.449,0.1855,0.612,0.609,0.7405,0.367,0.55,0.092,0.5265,0.6105,0.2425,0.3525,5.88,0.67,0.1655,0.3965,0.59,0.4285,8.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Mackan Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
16,3,2276,102.57,12.31,171.32,102.57,30.0,0.32,0.38,0.7455,0.5525,0.2115,0.6195,0.6595,0.768,0.2965,0.624,0.115,0.5395,0.5645,0.212,0.34,2.27,0.6605,0.2235,0.44,0.6785,0.4095,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Mackan Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
17,4,44,196.79,20.24,326.77,196.79,35.0,0.36,0.525,0.65,0.389,0.41,0.617,0.657,0.788,0.2385,0.584,0.128,0.505,0.535,0.248,0.3275,3.15,0.666,0.2515,0.424,0.569,0.33,4.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
18,4,54,74.37,13.39,126.55,74.37,20.0,0.45,0.475,0.623,0.388,0.3505,0.346,0.5725,0.689,0.269,0.5125,0.0865,0.406,0.4385,0.2905,0.3705,2.505,0.6625,0.206,0.333,0.4915,0.342,5.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
19,4,89,108.78,15.66,183.59,108.78,25.0,0.315,0.385,0.661,0.39,0.4595,0.3585,0.6125,0.7085,0.313,0.604,0.0995,0.445,0.4605,0.232,0.357,2.68,0.6615,0.226,0.352,0.6325,0.3115,5.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
20,4,554,102.63,14.78,175.87,102.63,25.0,0.36,0.545,0.6615,0.4315,0.33,0.3365,0.6155,0.6455,0.3505,0.539,0.094,0.3905,0.416,0.3185,0.406,2.435,0.6155,0.205,0.3365,0.5415,0.374,3.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
21,5,36,72.54,13.06,122.85,72.54,20.0,0.255,0.33,0.603,0.336,0.463,0.3905,0.5915,0.679,0.289,0.5195,0.1085,0.396,0.488,0.318,0.394,3.15,0.599,0.127,0.2965,0.4895,0.357,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
22,5,73,56.3,8.11,96.31,56.3,25.0,0.195,0.25,0.7385,0.414,0.4705,0.4085,0.599,0.7255,0.2655,0.594,0.123,0.4265,0.505,0.304,0.3885,3.12,0.644,0.153,0.397,0.6235,0.346,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
23,5,533,91.41,13.16,154.25,91.41,25.0,0.13,0.36,0.7245,0.4895,0.2595,0.314,0.5795,0.7025,0.308,0.5115,0.1045,0.428,0.502,0.339,0.382,6.72,0.611,0.1145,0.4145,0.494,0.341,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
24,5,538,56.24,8.1,95.17,56.24,25.0,0.36,0.215,0.7365,0.469,0.3955,0.3355,0.5685,0.7695,0.3035,0.5345,0.1155,0.48,0.5435,0.3215,0.384,1.905,0.616,0.1415,0.3855,0.506,0.357,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
25,6,96,115.11,13.81,197.04,115.11,30.0,0.28,0.38,0.8482,0.5367,0.2352,0.4468,0.6632,0.7985,0.2992,0.6245,0.093,0.4885,0.4982,0.2415,0.379,11.61,0.6655,0.108,0.468,0.654,0.3505,4.25,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Central Street,tertiary,tertiary,none,7.5m,SafeZone,0,0
26,6,1662,111.26,13.35,189.12,111.26,30.0,0.245,0.5,0.744,0.5045,0.3185,0.353,0.635,0.749,0.3315,0.5515,0.0675,0.4615,0.4595,0.289,0.379,14.855,0.6415,0.112,0.415,0.5585,0.3335,4.5,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Central Street,tertiary,tertiary,none,7.5m,SafeZone,0,0
27,6,2296,104.78,12.57,181.53,104.78,30.0,0.43,0.365,0.79,0.545,0.1165,0.3795,0.641,0.815,0.267,0.607,0.116,0.5475,0.4875,0.269,0.386,12.155,0.693,0.072,0.497,0.63,0.327,4.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Central Street,tertiary,tertiary,none,7.5m,SafeZone,0,0
28,7,25,77.88,9.35,134.57,77.88,30.0,0.455,0.435,0.7075,0.359,0.382,0.458,0.64,0.7395,0.3735,0.543,0.0725,0.4695,0.5725,0.264,0.3815,4.905,0.693,0.17,0.3415,0.526,0.3975,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Narayan Pillai Street,tertiary,tertiary,none,7.5m,SafeZone,0,0
29,7,56,74.18,8.9,128.88,74.18,30.0,0.515,0.42,0.7705,0.388,0.3135,0.497,0.7015,0.822,0.305,0.6185,0.063,0.526,0.6165,0.23,0.364,3.115,0.747,0.2275,0.438,0.565,0.341,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Narayan Pillai Street,tertiary,tertiary,none,7.5m,SafeZone,0,0
30,7,2232,71.95,8.63,122.66,71.95,30.0,0.465,0.325,0.7325,0.4625,0.3215,0.5225,0.648,0.76,0.3695,0.5645,0.083,0.4965,0.5415,0.295,0.3665,3.33,0.6765,0.187,0.3965,0.511,0.389,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Narayan Pillai Street,tertiary,tertiary,none,7.5m,SafeZone,0,0
31,8,48,159.57,22.98,271.22,159.57,25.0,0.43,0.595,0.6922,0.3995,0.1278,0.2447,0.634,0.7385,0.3518,0.5488,0.1022,0.4653,0.5672,0.287,0.384,4.19,0.6315,0.0938,0.4312,0.5428,0.3628,6.25,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
32,8,1644,127.5,22.95,214.26,127.5,20.0,0.44,0.495,0.601,0.4028,0.1645,0.322,0.578,0.6675,0.3252,0.4508,0.1052,0.4195,0.4808,0.3345,0.387,11.91,0.587,0.1498,0.3585,0.4562,0.3815,5.25,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
33,8,2224,102.9,14.82,176.5,102.9,25.0,0.5,0.575,0.6055,0.359,0.141,0.224,0.6095,0.66,0.3695,0.4875,0.1015,0.4395,0.451,0.366,0.415,6.095,0.6005,0.072,0.374,0.4615,0.3935,5.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
34,9,22,73.91,8.87,126.87,73.91,30.0,0.33,0.495,0.7785,0.4435,0.198,0.5775,0.6805,0.793,0.3325,0.5655,0.093,0.461,0.596,0.2695,0.3915,4.725,0.65,0.2385,0.4435,0.5725,0.4095,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Jumma Masjid Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
35,9,32,49.28,5.91,86.37,49.28,30.0,0.3,0.605,0.702,0.3905,0.1395,0.436,0.6045,0.6965,0.3885,0.5175,0.121,0.4485,0.5835,0.2985,0.418,6.7,0.6695,0.211,0.388,0.5295,0.428,7.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Jumma Masjid Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
36,9,2215,68.44,8.21,119.07,68.44,30.0,0.28,0.425,0.7295,0.4705,0.168,0.3205,0.6675,0.754,0.316,0.5935,0.1015,0.4875,0.596,0.2835,0.3985,2.31,0.6825,0.188,0.4385,0.655,0.342,7.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Jumma Masjid Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
37,9,2246,81.2,9.74,140.96,81.2,30.0,0.37,0.46,0.6825,0.416,0.198,0.234,0.6355,0.707,0.3305,0.5385,0.1195,0.43,0.551,0.2745,0.4185,6.81,0.635,0.175,0.356,0.5915,0.333,7.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Jumma Masjid Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
38,9,2282,68.7,8.24,119.5,68.7,30.0,0.255,0.39,0.6555,0.4335,0.195,0.503,0.619,0.738,0.3575,0.542,0.139,0.4145,0.5705,0.3,0.433,3.0,0.613,0.203,0.4005,0.552,0.4225,7.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Jumma Masjid Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
39,10,14,84.82,15.27,138.66,84.82,20.0,0.34,0.445,0.6605,0.328,0.3335,0.4155,0.57,0.6875,0.258,0.511,0.145,0.329,0.4425,0.2915,0.3625,5.275,0.5445,0.166,0.3575,0.562,0.403,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
40,10,2275,55.96,8.06,94.57,55.96,25.0,0.205,0.535,0.69,0.3625,0.2695,0.4215,0.5485,0.672,0.2835,0.4715,0.1185,0.338,0.4485,0.298,0.401,5.93,0.578,0.193,0.35,0.5075,0.4145,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
41,10,2283,92.81,13.36,159.01,92.81,25.0,0.435,0.375,0.674,0.3875,0.483,0.562,0.586,0.6965,0.3085,0.501,0.147,0.3865,0.444,0.343,0.4155,4.465,0.5955,0.0915,0.368,0.5275,0.4355,5.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
42,11,38,99.29,11.91,169.48,99.29,30.0,0.45,0.51,0.7155,0.425,0.325,0.3985,0.6115,0.7395,0.397,0.5605,0.0935,0.4695,0.5355,0.3255,0.387,7.225,0.64,0.262,0.392,0.601,0.4105,5.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
43,11,39,97.45,11.69,167.66,97.45,30.0,0.535,0.395,0.6755,0.4195,0.3655,0.514,0.5955,0.773,0.3975,0.5205,0.115,0.4665,0.496,0.2985,0.397,7.925,0.647,0.2105,0.3595,0.5465,0.3845,4.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
44,11,65,77.11,9.25,133.18,77.11,30.0,0.485,0.515,0.7435,0.4585,0.286,0.5925,0.5685,0.752,0.346,0.5075,0.106,0.473,0.557,0.3145,0.3825,8.505,0.689,0.278,0.354,0.501,0.399,5.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
45,11,85,40.64,4.88,70.53,40.64,30.0,0.4,0.525,0.6945,0.4065,0.2485,0.667,0.5895,0.668,0.4285,0.4785,0.0945,0.3995,0.4855,0.3565,0.424,13.39,0.623,0.2415,0.355,0.526,0.48,4.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
46,11,2221,73.19,8.78,125.69,73.19,30.0,0.42,0.34,0.7235,0.4755,0.2705,0.5165,0.608,0.7835,0.404,0.5545,0.146,0.4435,0.509,0.3355,0.393,7.025,0.6485,0.2465,0.411,0.605,0.4035,4.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
47,12,57,99.06,14.26,164.63,99.06,25.0,0.255,0.36,0.696,0.407,0.159,0.3655,0.6565,0.7445,0.2615,0.5645,0.085,0.421,0.4975,0.3205,0.3765,7.45,0.571,0.211,0.397,0.567,0.335,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
48,12,83,34.1,4.91,56.26,34.1,25.0,0.24,0.44,0.6602,0.3888,0.1245,0.4788,0.6005,0.6545,0.3312,0.4612,0.1132,0.3702,0.5452,0.3165,0.3742,3.39,0.5515,0.1632,0.335,0.4872,0.381,8.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
49,12,2218,55.73,8.03,92.43,55.73,25.0,0.185,0.31,0.6945,0.3915,0.096,0.5115,0.613,0.666,0.2955,0.426,0.078,0.3655,0.4195,0.3955,0.3935,2.955,0.53,0.16,0.3065,0.426,0.4135,4.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
50,12,2295,54.11,7.79,89.69,54.11,25.0,0.19,0.33,0.7255,0.4855,0.1235,0.323,0.6095,0.7495,0.2315,0.508,0.0915,0.406,0.5305,0.3085,0.3605,2.46,0.594,0.22,0.4205,0.529,0.295,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
51,12,2297,41.3,7.43,67.39,41.3,20.0,0.17,0.28,0.6515,0.416,0.0465,0.6125,0.6465,0.7125,0.2845,0.5065,0.0725,0.3525,0.42,0.3625,0.371,5.305,0.521,0.2085,0.367,0.546,0.4265,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
52,13,60,107.62,9.69,186.11,107.62,40.0,0.3775,0.3975,0.79,0.4988,0.3175,0.566,0.6928,0.8132,0.3362,0.6002,0.0775,0.6065,0.5022,0.2582,0.3895,9.935,0.6798,0.2182,0.4818,0.569,0.3822,2.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,St. John's Road,secondary,secondary,none,7.5m,SafeZone,0,0
53,13,129,181.31,18.65,307.75,181.31,35.0,0.3825,0.5275,0.8875,0.6982,0.1965,0.36,0.7052,0.8198,0.3348,0.6373,0.0935,0.552,0.5458,0.2538,0.3625,3.3,0.6698,0.1912,0.4598,0.59,0.3542,3.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,St. John's Road,secondary,secondary,none,7.5m,SafeZone,0,0
54,13,147,217.59,19.58,360.63,217.59,40.0,0.3225,0.5625,0.849,0.6972,0.214,0.357,0.7312,0.8348,0.2768,0.5998,0.1195,0.596,0.5888,0.2012,0.32,15.785,0.6748,0.1468,0.4693,0.6235,0.3498,4.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,St. John's Road,secondary,secondary,none,7.5m,SafeZone,0,0
55,13,180,177.47,18.25,302.91,177.47,35.0,0.2625,0.5525,0.749,0.5698,0.2125,0.516,0.7183,0.8038,0.3258,0.5592,0.112,0.4635,0.4698,0.2812,0.3835,4.68,0.6467,0.2102,0.4382,0.5735,0.3888,3.5,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,St. John's Road,secondary,secondary,none,7.5m,SafeZone,0,0
56,14,54,99.5,17.91,164.83,99.5,20.0,0.435,0.395,0.638,0.365,0.2105,0.2735,0.557,0.712,0.262,0.4885,0.127,0.3795,0.493,0.287,0.3625,2.725,0.588,0.179,0.363,0.494,0.359,7.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
57,14,2283,92.59,13.33,156.66,92.59,25.0,0.475,0.29,0.6835,0.4075,0.3435,0.4715,0.604,0.716,0.3165,0.509,0.182,0.3875,0.4625,0.3555,0.406,1.29,0.572,0.1285,0.3545,0.5385,0.4105,5.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
58,15,1645,35.06,4.21,59.17,35.06,30.0,0.285,0.4817,0.67,0.4752,0.1593,0.3762,0.57,0.64,0.3808,0.4685,0.088,0.395,0.5345,0.305,0.4095,3.17,0.5565,0.1983,0.3293,0.4515,0.398,6.3333,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
59,15,1647,40.75,4.89,69.57,40.75,30.0,0.3375,0.5017,0.646,0.4339,0.2803,0.5379,0.561,0.6225,0.3851,0.4402,0.1275,0.4087,0.5342,0.3303,0.4252,4.635,0.5635,0.1211,0.3038,0.4358,0.4545,6.3333,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
60,15,1712,45.73,5.49,75.68,45.73,30.0,0.24,0.3967,0.6465,0.4347,0.3253,0.7017,0.5165,0.65,0.3633,0.402,0.1155,0.3625,0.5405,0.321,0.401,5.965,0.5075,0.2283,0.3003,0.3895,0.4495,7.3333,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,residential,residential,none,7.5m,SafeZone,0,0
61,16,2260,66.61,9.59,111.07,66.61,25.0,0.42,0.325,0.6185,0.4455,0.442,0.426,0.5315,0.7105,0.316,0.5005,0.1665,0.37,0.4485,0.3145,0.369,4.69,0.597,0.162,0.3465,0.522,0.369,6.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
62,16,2276,19.41,2.79,32.6,19.41,25.0,0.395,0.295,0.67,0.486,0.2875,0.3915,0.5905,0.738,0.2725,0.584,0.157,0.4515,0.4355,0.2745,0.3635,2.17,0.633,0.1925,0.4165,0.6245,0.3515,4.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Unnamed Road,living_street,living_street,none,7.5m,SafeZone,0,0
63,17,49,91.5,10.98,154.92,91.5,30.0,0.435,0.355,0.6645,0.451,0.2778,0.289,0.5645,0.6452,0.4172,0.4508,0.1225,0.417,0.443,0.3308,0.4078,11.165,0.5705,0.192,0.314,0.4415,0.3898,3.75,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Bowring Hospital Road,residential,residential,none,7.5m,SafeZone,0,0
64,17,109,91.3,10.96,153.44,91.3,30.0,0.335,0.335,0.7265,0.567,0.4495,0.506,0.559,0.6765,0.4455,0.4505,0.126,0.4075,0.4275,0.328,0.412,8.225,0.537,0.232,0.3025,0.437,0.4455,4.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Bowring Hospital Road,residential,residential,none,7.5m,SafeZone,0,0
65,17,1740,84.37,10.12,140.68,84.37,30.0,0.44,0.405,0.6445,0.3995,0.3445,0.2645,0.542,0.648,0.39,0.444,0.111,0.414,0.4425,0.369,0.3895,7.605,0.556,0.117,0.3155,0.4645,0.3875,3.5,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Bowring Hospital Road,residential,residential,none,7.5m,SafeZone,0,0
66,17,2277,72.42,8.69,118.23,72.42,30.0,0.305,0.24,0.651,0.4715,0.466,0.2185,0.521,0.645,0.3895,0.433,0.087,0.425,0.3995,0.3545,0.389,8.58,0.487,0.2145,0.3215,0.415,0.38,3.5,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Bowring Hospital Road,residential,residential,none,7.5m,SafeZone,0,0
67,18,76,81.92,9.83,136.71,81.92,30.0,0.23,0.535,0.772,0.4175,0.1375,0.777,0.6525,0.754,0.273,0.606,0.1145,0.4875,0.6135,0.2035,0.3495,5.16,0.6385,0.119,0.466,0.623,0.396,7.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Mackan Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
68,18,91,125.46,15.05,214.22,125.46,30.0,0.12,0.55,0.705,0.41,0.297,0.7075,0.639,0.7695,0.341,0.6295,0.092,0.465,0.595,0.224,0.3845,6.835,0.646,0.109,0.4885,0.6415,0.3985,7.0,CENTRAL BANGALORE,Bi-directional,Shivajinagar,Shivajinagar,Mackan Road,tertiary,tertiary,none,7.5m,SafeZone,0,0
